date,ticker,action,quantity,price,analyst_id,additional_check_completed,senior_approval_completed
2023-01-15,AAPL,BUY,10,135.5,A001,N,N
2023-03-02,MSFT,BUY,5,255.75,A001,N,N
2023-05-18,VUSA,BUY,20,68.3,A002,N,N
2023-07-11,AAPL,BUY,5,187.2,A001,N,N
2023-09-01,NVDA,BUY,8,485.0,A003,N,N
2023-11-20,MSFT,BUY,10,370.25,A002,N,N
2024-01-12,VUSA,BUY,15,74.5,A001,N,N
2024-02-28,AAPL,SELL,3,192.8,A001,N,N
2024-04-10,NVDA,BUY,12,870.0,A003,Y,N
2024-05-22,GOOGL,BUY,25,175.4,A002,N,N
2024-07-03,MSFT,SELL,2,450.1,A001,N,N
2024-08-15,VUSA,BUY,30,82.15,A003,N,N
2024-10-07,NVDA,BUY,15,950.75,A002,Y,N
2024-11-18,AAPL,BUY,20,225.6,A001,N,N
2025-01-09,GOOGL,BUY,40,198.3,A003,Y,N
2025-02-20,VUSA,SELL,10,88.4,A002,N,N
2025-04-05,NVDA,BUY,25,1125.5,A003,Y,Y
2025-05-16,MSFT,BUY,15,512.8,A001,Y,N
2025-08-01,GOOGL,BUY,50,210.25,A002,Y,Y
2025-11-12,AAPL,SELL,5,245.9,A003,N,N
